 1 2 3 4 5 6 7
 0 0.1 10 60 57 -2 -2
 0 0.1 20 62 58 -4 -3
 0 0.1 30 61 58 -3 -3
 0 0.1 40 61 59 -3 -4
 0 0.1 50 61 57 -3 -2
 0 0.3 10 62 59 -4 -4
 0 0.3 20 62 58 -4 -3
 0 0.3 30 60 58 -2 -3
 0 0.3 40 61 57 -3 -2
 0 0.3 50 60 58 -2 -3
 0 0.5 10 61 59 -3 -4
 0 0.5 20 62 57 -4 -2
 0 0.5 30 61 58 -3 -3
 0 0.5 40 59 59 -1 -4
 0 0.5 50 60 57 -2 -2
 0 0.7 10 60 59 -2 -4
 0 0.7 20 62 58 -4 -3
 0 0.7 30 60 58 -2 -3
 0 0.7 40 62 57 -4 -2
 0 0.7 50 60 58 -2 -3
 0 0.9 10 61 59 -3 -4
 0 0.9 20 61 57 -3 -2
 0 0.9 30 61 56 -3 -1
 0 0.9 40 61 58 -3 -3
 0 0.9 50 60 58 -2 -3
 0 0.1 10 59 56 -1 -1
 0 0.1 20 59 57 -1 -2
 0 0.1 30 59 56 -1 -1
 0 0.1 40 59 56 -1 -1
 0 0.1 50 59 57 -1 -2
 0 0.3 10 60 57 -2 -2
 0 0.3 20 60 56 -2 -1
 0 0.3 30 60 55 -2  0
 0 0.3 40 59 56 -1 -1
 0 0.3 50 59 57 -1 -2
 0 0.5 10 59 57 -1 -2
 0 0.5 20 59 57 -1 -2
 0 0.5 30 59 56 -1 -1
 0 0.5 40 58 56  0 -1
 0 0.5 50 58 56  0 -1
 0 0.7 10 59 57 -1 -2
 0 0.7 20 60 56 -2 -1
 0 0.7 30 58 57  0 -2
 0 0.7 40 59 55 -1  0
 0 0.7 50 59 56 -1 -1
 0 0.9 10 60 56 -2 -1
 0 0.9 20 60 57 -2 -2
 0 0.9 30 58 56  0 -1
 0 0.9 40 59 56 -1 -1
 0 0.9 50 58 55  0  0
 0 0.1 10 59 55 -1  0
 0 0.1 20 59 55 -1  0
 0 0.1 30 59 56 -1 -1
 0 0.1 40 59 56 -1 -1
 0 0.1 50 58 55  0  0
 0 0.3 10 59 56 -1 -1
 0 0.3 20 58 56  0 -1
 0 0.3 30 58 56  0 -1
 0 0.3 40 58 55  0  0
 0 0.3 50 58 55  0  0
 0 0.5 10 59 55 -1  0
 0 0.5 20 59 56 -1 -1
 0 0.5 30 58 56  0 -1
 0 0.5 40 59 56 -1 -1
 0 0.5 50 59 56 -1 -1
 0 0.7 10 58 57  0 -2
 0 0.7 20 59 56 -1 -1
 0 0.7 30 58 56  0 -1
 0 0.7 40 58 56  0 -1
 0 0.7 50 58 55  0  0
 0 0.9 10 60 56 -2 -1
 0 0.9 20 59 55 -1  0
 0 0.9 30 58 56  0 -1
 0 0.9 40 58 55  0  0
 0 0.9 50 58 55  0  0
 0 0.1 10 58 56  0 -1
 0 0.1 20 58 56  0 -1
 0 0.1 30 58 56  0 -1
 0 0.1 40 58 55  0  0
 0 0.1 50 58 55  0  0
 0 0.3 10 59 55 -1  0
 0 0.3 20 58 55  0  0
 0 0.3 30 58 55  0  0
 0 0.3 40 58 55  0  0
 0 0.3 50 58 55  0  0
 0 0.5 10 59 56 -1 -1
 0 0.5 20 58 55  0  0
 0 0.5 30 58 55  0  0
 0 0.5 40 58 55  0  0
 0 0.5 50 58 55  0  0
 0 0.7 10 58 55  0  0
 0 0.7 20 58 55  0  0
 0 0.7 30 58 55  0  0
 0 0.7 40 58 55  0  0
 0 0.7 50 58 55  0  0
 0 0.9 10 58 56  0 -1
 0 0.9 20 58 55  0  0
 0 0.9 30 59 55 -1  0
 0 0.9 40 58 55  0  0
 0 0.9 50 58 55  0  0
 0 0.1 10 58 55  0  0
 0 0.1 20 58 55  0  0
 0 0.1 30 58 55  0  0
 0 0.1 40 58 55  0  0
 0 0.1 50 58 55  0  0
 0 0.3 10 58 55  0  0
 0 0.3 20 58 55  0  0
 0 0.3 30 58 55  0  0
 0 0.3 40 58 55  0  0
 0 0.3 50 58 55  0  0
 0 0.5 10 58 55  0  0
 0 0.5 20 58 55  0  0
 0 0.5 30 58 55  0  0
 0 0.5 40 58 55  0  0
 0 0.5 50 58 55  0  0
 0 0.7 10 58 55  0  0
 0 0.7 20 59 56 -1 -1
 0 0.7 30 58 55  0  0
 0 0.7 40 58 55  0  0
 0 0.7 50 58 55  0  0
 0 0.9 10 58 55  0  0
 0 0.9 20 58 55  0  0
 0 0.9 30 58 55  0  0
 0 0.9 40 58 55  0  0
 0 0.9 50 58 55  0  0
 2 0.1 10 62 59 -4 -4
 2 0.1 20 60 58 -2 -3
 2 0.1 30 60 57 -2 -2
 2 0.1 40 60 57 -2 -2
 2 0.1 50 59 57 -1 -2
 2 0.3 10 62 60 -4 -5
 2 0.3 20 59 60 -1 -5
 2 0.3 30 60 58 -2 -3
 2 0.3 40 60 61 -2 -6
 2 0.3 50 60 57 -2 -2
 2 0.5 10 61 59 -3 -4
 2 0.5 20 60 57 -2 -2
 2 0.5 30 61 58 -3 -3
 2 0.5 40 60 56 -2 -1
 2 0.5 50 60 58 -2 -3
 2 0.7 10 60 59 -2 -4
 2 0.7 20 61 58 -3 -3
 2 0.7 30 60 56 -2 -1
 2 0.7 40 61 58 -3 -3
 2 0.7 50 61 57 -3 -2
 2 0.9 10 61 58 -3 -3
 2 0.9 20 61 56 -3 -1
 2 0.9 30 60 57 -2 -2
 2 0.9 40 60 56 -2 -1
 2 0.9 50 59 57 -1 -2
 2 0.1 10 59 57 -1 -2
 2 0.1 20 59 56 -1 -1
 2 0.1 30 59 55 -1  0
 2 0.1 40 58 57  0 -2
 2 0.1 50 59 55 -1  0
 2 0.3 10 61 57 -3 -2
